"var","min","max","nunique","nulls","DESCRIPCION","ordinal","percentil","decil","cuartil"
"Master_mpagominimo",0,"1820812.71",7952,101319,"Monto del pago minimo necesario para no ser moroso de la tarjeta de crédito","T","T","T","T"
"Visa_mpagominimo",0,"4066755.81",12033,48838,"Monto del pago minimo necesario para no ser moroso de la tarjeta de crédito","T","T","T","T"
"foto_mes",202101,202106,6,0,"mes correspondiente a la foto de los datos del datawarehouse. La fecha 201907 indica que la foto fue obtenida el 31-julio-2019 a las 23:59:59",,,,
"Master_mfinanciacion_limite",0,"350302669.59",708,101319,"Límite de financiacion de la tarjeta de crédito, expresado en pesos.","T","T","T","T"
"Visa_mfinanciacion_limite",0,"339068148.15",676,48838,"Límite de financiacion de la tarjeta de crédito, expresado en pesos.","T","T","T","T"
"Master_mlimitecompra","985.32","10783342.08",567,101319,"Límite de compra, valor muy importante.","T","T","T","T"
"Visa_mlimitecompra","1011.71",17595000,563,48838,"Límite de compra, valor muy importante.","T","T","T","T"
"cliente_vip",0,1,2,0,"Indica si marketing considera a esa cliente un cliente vip al momento de obtención de la foto.  A pesar que todos estos son clientes de Paquete Premium,  el area de marketing solo considera vip a menos del  2% de los paquete premium , y da a estos clientes VIP un trato a puertas cerradas.","F",,,
"internet",0,4,5,0,"indica si el cliente usa servicios de HomeBanking o tiene instalada la app","F",,,
"active_quarter",0,1,2,0,"Indica si el cliente ha realizado transacciones voluntarias en el ultimo timestre . Que el banco cobre la comisión de mantenimiento de cuenta NO es un movimiento voluntario por mas que es un debito en la cuenta.  Que se cobre una cuota de una compra con tarjeta de crédito, tampoco es un movimiento voluntario.","F",,,
"cmobile_app_trx",0,1,2,0,"indica la cantidad de transacciones realizadas ese mes desde la aplicacion móvil","F",,,
"numero_de_cliente",249221109,1598518152,169481,0,"ID único que se asigna a cada cliente.  Clientes mas nuevos tienen Ids mayores.  Si un ex cliente regresa se le asigna el  numero_de_cliente que ya tuvo asignado la primera vez.","F",,,
"mrentabilidad","-447330.64","2832072.91",601230,0,"Ganancia total que ha obtenido el banco de ese cliente, en ese mes.","T","T","T","T"
"mrentabilidad_annual","-1487712.49","4532265.92",911216,0,"Ganancia total que el banco ha obtenido de ese cliente en el ultimo año de relacion cliente-banco,  o meses desde que ingresó si es cliente reciente.","T","T","T","T"
"Master_madelantopesos",0,99784,151,586300,"Extracciones de pesos realizadas con la tarjeta de crédito durante ese mes.","T","T","T","T"
"Visa_madelantopesos",0,188853,231,133593,"Extracciones de pesos realizadas con la tarjeta de crédito durante ese mes.","T","T","T","T"
"Master_madelantodolares",0,1056,48,586300,"Extracciones de dolares realizadas con la tarjeta de crédito durante ese mes.","T",,"T","T"
"Visa_madelantodolares",0,708,83,133593,"Extracciones de dolares realizadas con la tarjeta de crédito durante ese mes.","T",,"T","T"
"cliente_edad",18,105,86,0,"Edad en años del cliente.","T",,"T","T"
"Master_Fvencimiento",-2914237,5206,446,101319,"Dias para el vencimiento del plastico de la tarjeta de crédito, contados a la fecha de la foto.",,,,
"Visa_Finiciomora",0,269,96,968318,"Dias para el inicio de la mora ( el dia siguiente al vencimiento ), contados a la fecha de la foto",,,,
"Visa_Fvencimiento",-2914237,4749,418,48838,"Dias para el  vencimiento del plastico de la tarjeta de crédito, contados a la fecha de la foto",,,,
"Master_Finiciomora",-1,268,101,977048,"Dias desde el inicio de la mora ( el dia siguiente al vencimiento ), contados a la fecha de la foto.","T",,,
"Visa_fechaalta",1,12728,10822,48838,"Dias desde el alta de la cuenta de la tarjeta de crédito, contados a la fecha de la foto.","T",,,
"Master_fultimo_cierre",-3,3388,57,101770,"Dias desde del utlimo cierre de la tarjeta de crédito, contados a la fecha de la foto.","T",,,
"Master_fechaalta",1,7693,7385,101319,"Dias desde de alta de la cuenta de la tarjeta de crédito, contados a la fecha de la foto.","T",,,
"Visa_fultimo_cierre",-3,3388,58,49162,"Dias  del utlimo cierre de la tarjeta de crédito, contados a la fecha de la foto.","T",,,
"ctransferencias_recibidas",0,961,323,0,"Cantidad de transferencias recibidas en todas las cuentas durante el mes. Puede ser transferencias propias o de terceros.","T",,,
"ctransferencias_emitidas",0,272,159,0,"Cantidad de transferencias emitidas  en todas las cuentas durante el mes. Puede ser transferencias propias o de terceros.","T",,,
"ctarjeta_debito_transacciones",0,220,159,0,"Cantidad de transacciones que hizo el cliente con su tarjeta de débito durante el mes.","T",,,
"ccajas_transacciones",0,1,2,0,"Cantidad de transacciones que el cliente realizó durante el mes en la linea de cajas de las sucursales del banco.","T",,,
"catm_trx_other",0,65,53,0,"Cantidad de transacciones que el cliente realizó durante el mes en cajeros automáticos que no son propiedad del banco.","T",,,
"catm_trx",0,340,108,0,"Cantidad de transacciones que el cliente realizó durante el mes en cajeros automáticos propiedad del banco.","T",,,
"ccallcenter_transacciones",0,131,75,0,"Cantidad de transacciones que el cliente efectuó durante el mes por el canal de banca telefónica.","T",,,
"chomebanking_transacciones",0,6671,1094,0,"Cantidad de transacciones por home banking que el cliente hizo durante el mes.","T",,,
"ctarjeta_visa_transacciones",0,596,250,0,"Cantidad de transacciones efectuadas durante el mes con la tarjeta de crédito VISA","T",,,
"ctarjeta_master_transacciones",0,334,165,0,"Cantidad de transacciones efectuadas durante el mes con la tarjeta de crédito MasterCard","T",,,
"cforex_sell",0,22,17,0,"Cantidad de transacciones de venta de moneda extranjera que realizó el cliente durante el mes","T",,,
"cforex_buy",0,13,12,0,"Cantidad de transacciones de compra de moneda extranjera que realizó el cliente durante el mes","T",,,
"cforex",0,22,17,0,"Cantidad de transacciones de cambio de moneda que realizó el cliente durante el mes.","T",,,
"cpayroll2_trx",0,6,7,0,"Cantidad de transacciones de acreditacion de haberes en el mes","T",,,
"ctarjeta_debito",0,25,14,0,"Cantidad de tarjetas de débito que posee el cliente.","T",,,
"cseguro_vivienda",0,5,6,0,"Cantidad de seguros de vivienda que tiene el cliente.","T",,,
"cseguro_vida",0,3,4,0,"Cantidad de seguros de vida contratados por el cliente. No se tienen en cuenta los seguros de vida obligatorios de los prestamos hipotecarios, prendarios, personales, etc","T",,,
"cseguro_accidentes_personales",0,4,4,0,"Cantidad de seguros de accidentes personales","T",,,
"cseguro_auto",0,6,6,0,"Cantidad de seguros automotores que el cliente posee vigentes.","T",,,
"cproductos",3,17,15,0,"Cantidad de productos que el cliente posee con el banco. Se cuentan las familias de productos.","T",,,
"cprestamos_prendarios",0,22,23,0,"Cantidad de préstamos prendarios vigentes  del cliente","T",,,
"cprestamos_personales",0,398,227,0,"Cantidad de préstamos personales vigentes  del cliente","T",,,
"cprestamos_hipotecarios",0,23,24,0,"Cantidad de préstamos hipotecarios vigentes  del cliente","T",,,
"cplazo_fijo",0,103,55,0,"Cantidad de plazos fijos que tiene el cliente Se suma la cantidad de plazos fijos en pesos mas la cantidad de plazos fijos en dolares.","T",,,
"cpagomiscuentas",0,323,115,0,"Cantidad de pagos efectuados durante el mes por el canal PagoMisCuentas","T",,,
"cpagodeservicios",0,60,32,0,"Cantidad de pagos de servicios efectuados durante el mes.","T",,,
"ccajas_otras",0,138,44,0,"Cantidad de otros tipos de transacciones  que el cliente realizó durante el mes en la linea de cajas de las sucursales del banco.","T",,,
"ccomisiones_otras",0,450,244,0,"Cantidad de otras comisiones que se cobraron al cliente durante el mes.","T",,,
"ctrx_quarter",0,2746,1238,0,"Cantidad de movimientos voluntarios en las cuentas bancarias ( no tarjeta de credito ) que el cliente realizó en los ultimos 90 dias.","T",,,
"cinversion2",0,77,65,0,"Cantidad de inversiones de tipo2 que posee el cliente vigentes.","T",,,
"cinversion1",0,16,15,0,"Cantidad de inversiones de tipo 1 que posee el cliente vigentes.","T",,,
"cextraccion_autoservicio",0,340,110,0,"Cantidad de extracciones en cajeros automáticos durante el mes","T",,,
"ccajas_extracciones",0,17,17,0,"Cantidad de extracciones  que el cliente realizó durante el mes en la linea de cajas de las sucursales del banco.","T",,,
"ccajeros_propios_descuentos",0,20,19,0,"Cantidad de descuentos con los que se benefició el cliente al utilizar su tarjeta de débito durante el mes.","T",,,
"ctarjeta_visa_descuentos",0,23,19,0,"Cantidad de descuentos con los que se benefició el cliente al utilizar su tarjeta de crédito VISA durante el mes.","T",,,
"ctarjeta_master_descuentos",0,31,27,0,"Cantidad de descuentos con los que se benefició el cliente al utilizar su tarjeta de crédito MasterCard durante el mes.","T",,,
"ccajas_depositos",0,48,27,0,"Cantidad de depóstitos que el cliente realizó durante el mes en la linea de cajas de las sucursales del banco.","T",,,
"ctarjeta_visa_debitos_automaticos",0,57,55,0,"Cantidad de débitos automáticos debitados durante el mes en las tarjeta de crédito VISA","T",,,
"ctarjeta_master_debitos_automaticos",0,31,30,0,"Cantidad de débitos automáticos debitados durante el mes en las tarjeta de crédito MasterCard","T",,,
"ccuenta_debitos_automaticos",0,310,75,0,"Cantidad de débitos automáticos debitados durante el mes en las cuentas  ( no tarjetas de crédito )","T",,,
"ctarjeta_visa",0,3,4,0,"Cantidad de cuentas VISA que posee el cliente. Una cuenta posee un titular y puede llegar a tener varios adicionales. El titular y/o adicionales pueden tener ( o no ) un plástico vigente. Aunque no es común, un cliente SI puede ser titular de más de una cuenta VISA .","T",,,
"tcuentas",1,2,2,0,"Cantidad de cuentas que el cliente tiene,  vale 0 si no tiene ninguna,  1 si solo tiene cajas de ahorro o solo cuentas corrientes,  2 si tiene al menos una caja de ahorro y tambien al menos una cuenta corriente.","F",,,
"ctarjeta_master",0,2,3,0,"Cantidad de cuentas Mastercard que tiene la persona.  Una cuenta puede tener un plástico titular y varias plásticos adicionales.","T",,,
"ccuenta_corriente",1,3,3,0,"Cantidad de cuentas corrientes que tiene el cliente. Hay muy pocos clientes con mas de una cuenta corriente.","T",,,
"Master_cconsumos",0,199,121,586300,"Cantidad de consumos con la tarjeta de credito efectuados por el cliente durante el mes.","T",,,
"Visa_cconsumos",0,241,159,133593,"Cantidad de consumos con la tarjeta de credito efectuados por el cliente durante el mes.","T",,,
"ccajas_consultas",0,70,31,0,"Cantidad de consultas que el cliente realizó durante el mes en la linea de cajas de las sucursales del banco.","T",,,
"ccomisiones_mantenimiento",0,43,24,0,"Cantidad de comisiones de mantenimiento de productos cobrardas durante el banco durante el mes.","T",,,
"ccheques_depositados",0,402,82,0,"Cantidad de cheques que se depositaron en las cuentas del cliente durante el mes.","T",,,
"ccheques_depositados_rechazados",0,22,11,0,"Cantidad de cheques que se depositaron en cuentas del cliente y fueron rechazados durante el mes.","T",,,
"ccheques_emitidos_rechazados",0,54,19,0,"Cantidad de cheques emitidos por el cliente que fueron rechazados durante el mes.","T",,,
"ccheques_emitidos",0,153,90,0,"Cantidad de cheques del cliente que se cobraron ( ya sea por el cliente mismo o por terceros )  durante el mes .","T",,,
"ccaja_ahorro",2,10,9,0,"Cantidad de cajas de ahorro que tiene el cliente.","T",,,
"Master_cadelantosefectivo",0,26,18,586300,"Cantidad de adelantos en efectivo que el cliente realizó durante ese mes.","T",,,
"Visa_cadelantosefectivo",0,35,22,133593,"Cantidad de adelantos en efectivo que el cliente realizó durante ese mes.","T",,,
"cpayroll_trx",0,293,75,0,"Cantidad de Acreditaciones de Haberes en relación de depencia que le hicieron al cliente en ese mes.  Un cliente puede estar en relacion de dependencia con mas de una empresa. Una empresa puede hacerle VARIOS depósitos al mismo empleado durante el mes.  Soalmente se consideran las acreditaciones de empresas que tienen un contrato con el banco.","T",,,
"cliente_antiguedad",1,378,331,0,"Antiguedad medida en meses de el cliente.  Es de la ultima vez que esa persona reingresó como cliente del banco.","T",,,
"tcallcenter",0,1,2,0,"{0,1} indica si la persona está adherida al canal de banca telefónica .","F",,,
"thomebanking",0,1,2,0,"{0, 1} indica si el cliente está adherido al Home Banking","F",,,
"tmobile_app",0,1,2,0,"{ 0, 1} indica si la persona se instaló alguna vez la aplicación movil","F",,,
"Master_delinquency",0,1,2,101319,"{ 0, 1 }  indica si el cliente no llegó a completar el pago mínimo y esta moroso. Estos clientes NO pueden utilizar mas la tarjeta hasta tanto regularicen su situacion. Obviamente si les caen las cuotas de compras anteriores, intereses, punitorios, etc","F",,,
"Visa_delinquency",0,1,2,48838,"{ 0, 1 }  indica si el cliente no llegó a completar el pago mínimo y esta moroso. Estos clientes NO pueden utilizar mas la tarjeta hasta tanto regularicen su situacion. Obviamente si les caen las cuotas de compras anteriores, intereses, punitorios, etc","F",,,
"Master_status",0,9,4,101319,"{ 0,  6, 7, 9 }   indica el estado de la cuenta de la tarjeta de crédito. 0 abierta,  6 en proceso de cierre, 7 en proceso avanzado de cierre, 9 cuenta cerrada.   Una cuenta cerrada puede volver a abrirse !!","F",,,
"Visa_status",0,9,4,48838,"{ 0,  6, 7, 9 }   indica el estado de la cuenta de la tarjeta de crédito. 0 abierta,  6 en proceso de cierre, 7 en proceso avanzado de cierre, 9 cuenta cerrada.   Una cuenta cerrada puede volver a abrirse !!","F",,,
